Symbol,Date,Close
AMD,2018-05-01,11.13
AMD,2018-05-02,10.97
AMD,2018-05-03,10.93
AMD,2018-05-04,11.28
AMD,2018-05-07,11.59
AMD,2018-05-08,11.61
AMD,2018-05-09,11.95
AMD,2018-05-10,12.13
AMD,2018-05-11,11.95
AMD,2018-05-14,12.23
AMD,2018-05-15,12.45
AMD,2018-05-16,12.82
AMD,2018-05-17,12.82
AMD,2018-05-18,12.82
AMD,2018-05-21,12.99
AMD,2018-05-22,12.98
AMD,2018-05-23,13.1
AMD,2018-05-24,13.41
AMD,2018-05-25,13.54
AMD,2018-05-29,13.36
AMD,2018-05-30,13.82
AMD,2018-05-31,13.73
AMD,2018-06-01,14.4
AMD,2018-06-04,14.85
AMD,2018-06-05,14.85
AMD,2018-06-06,15.67
AMD,2018-06-07,14.89
AMD,2018-06-08,15.25
AMD,2018-06-11,15.73
AMD,2018-06-12,15.85
AMD,2018-06-13,16.32
AMD,2018-06-14,16.25
AMD,2018-06-15,16.34
AMD,2018-06-18,17.11
AMD,2018-06-19,16.69
AMD,2018-06-20,16.52
AMD,2018-06-21,15.65
AMD,2018-06-22,15.8
AMD,2018-06-25,15.11
AMD,2018-06-26,15.5
AMD,2018-06-27,14.97
AMD,2018-06-28,15.31
AMD,2018-06-29,14.99
AMD,2018-07-02,15.16
AMD,2018-07-03,15
AMD,2018-07-05,15.5
AMD,2018-07-06,16.36
AMD,2018-07-09,16.61
AMD,2018-07-10,16.55
AMD,2018-07-11,16.27
AMD,2018-07-12,16.56
AMD,2018-07-13,16.27
AMD,2018-07-16,16.58
AMD,2018-07-17,16.87
AMD,2018-07-18,16.85
AMD,2018-07-19,16.71
AMD,2018-07-20,16.5
AMD,2018-07-23,16.66
AMD,2018-07-24,16.19
AMD,2018-07-25,16.05
AMD,2018-07-26,18.35
AMD,2018-07-27,18.94
AMD,2018-07-30,19.42
AMD,2018-07-31,18.33
AMD,2018-08-01,18.48
AMD,2018-08-02,18.79
AMD,2018-08-03,18.49
AMD,2018-08-06,19.43
AMD,2018-08-07,19.56
AMD,2018-08-08,19.58
AMD,2018-08-09,19.1
AMD,2018-08-10,19.06
AMD,2018-08-13,19.73
AMD,2018-08-14,20.02
AMD,2018-08-15,19.7
AMD,2018-08-16,19.33
AMD,2018-08-17,19.77
AMD,2018-08-20,19.98
AMD,2018-08-21,20.4
AMD,2018-08-22,20.9
AMD,2018-08-23,22.29
AMD,2018-08-24,23.98
AMD,2018-08-27,25.26
AMD,2018-08-28,25.05
AMD,2018-08-29,25.2
AMD,2018-08-30,24.89
AMD,2018-08-31,25.17
AMD,2018-09-04,28.06
AMD,2018-09-05,28.51
AMD,2018-09-06,27.84
AMD,2018-09-07,27.38
AMD,2018-09-10,29.89
AMD,2018-09-11,30.1
AMD,2018-09-12,32.21
AMD,2018-09-13,30.48
AMD,2018-09-14,32.72
AMD,2018-09-17,32.43
AMD,2018-09-18,31.93
AMD,2018-09-19,31.21
AMD,2018-09-20,31.18
AMD,2018-09-21,31.02
AMD,2018-09-24,32.61
AMD,2018-09-25,32.57
AMD,2018-09-26,32.19
AMD,2018-09-27,32.59
AMD,2018-09-28,30.89
AMD,2018-10-01,31.42
AMD,2018-10-02,29.02
AMD,2018-10-03,28.43
AMD,2018-10-04,27.78
AMD,2018-10-05,27.35
AMD,2018-10-08,26.46
AMD,2018-10-09,27.24
AMD,2018-10-10,25
AMD,2018-10-11,25.3
AMD,2018-10-12,26.34
AMD,2018-10-15,26.26
AMD,2018-10-16,28.18
AMD,2018-10-17,27.3
AMD,2018-10-18,26.62
AMD,2018-10-19,23.66
AMD,2018-10-22,25.03
AMD,2018-10-23,25.09
AMD,2018-10-24,22.79
AMD,2018-10-25,19.27
AMD,2018-10-26,17.63
AMD,2018-10-29,16.85
AMD,2018-10-30,17.2
AMD,2018-10-31,18.21
AMD,2018-11-01,20.22
AMD,2018-11-02,20.23
AMD,2018-11-05,19.9
AMD,2018-11-06,20.68
AMD,2018-11-07,21.84
AMD,2018-11-08,21.2
AMD,2018-11-09,21.03
AMD,2018-11-12,19.03
AMD,2018-11-13,19.61
AMD,2018-11-14,20.81
AMD,2018-11-15,21.49
AMD,2018-11-16,20.66
AMD,2018-11-19,19.11
AMD,2018-11-20,19.21
AMD,2018-11-21,18.73
AMD,2018-11-23,19.38
AMD,2018-11-26,20.08
AMD,2018-11-27,21.05
AMD,2018-11-28,21.34
AMD,2018-11-29,21.43
AMD,2018-11-30,21.3
AMD,2018-12-03,23.71
AMD,2018-12-04,21.12
AMD,2018-12-06,21.3
AMD,2018-12-07,19.46
AMD,2018-12-10,19.99
AMD,2018-12-11,19.98
AMD,2018-12-12,20.48
AMD,2018-12-13,19.86
AMD,2018-12-14,19.9
AMD,2018-12-17,18.83
AMD,2018-12-18,19.5
AMD,2018-12-19,18.16
AMD,2018-12-20,17.94
AMD,2018-12-21,16.93
AMD,2018-12-24,16.65
AMD,2018-12-26,17.9
AMD,2018-12-27,17.49
AMD,2018-12-28,17.82
AMD,2018-12-31,18.46
AMD,2019-01-02,18.83
AMD,2019-01-03,17.05
AMD,2019-01-04,19
AMD,2019-01-07,20.57
AMD,2019-01-08,20.75
AMD,2019-01-09,20.19
AMD,2019-01-10,19.74
AMD,2019-01-11,20.27
AMD,2019-01-14,20.23
AMD,2019-01-15,20.38
AMD,2019-01-16,19.73
AMD,2019-01-17,20.25
AMD,2019-01-18,20.77
