Symbol,Date,Close
MRK,2018-05-01,57.98
MRK,2018-05-02,57.3
MRK,2018-05-03,57.53
MRK,2018-05-04,57.75
MRK,2018-05-07,57.38
MRK,2018-05-08,56.76
MRK,2018-05-09,57.95
MRK,2018-05-10,58.06
MRK,2018-05-11,59.69
MRK,2018-05-14,59.68
MRK,2018-05-15,59.2
MRK,2018-05-16,59.75
MRK,2018-05-17,59.07
MRK,2018-05-18,59.14
MRK,2018-05-21,58.57
MRK,2018-05-22,58.45
MRK,2018-05-23,59.17
MRK,2018-05-24,59.13
MRK,2018-05-25,59.09
MRK,2018-05-29,58.4
MRK,2018-05-30,59.72
MRK,2018-05-31,59.53
MRK,2018-06-01,60.56
MRK,2018-06-04,62.02
MRK,2018-06-05,61.39
MRK,2018-06-06,61.93
MRK,2018-06-07,61.99
MRK,2018-06-08,62.58
MRK,2018-06-11,62.33
MRK,2018-06-12,62.44
MRK,2018-06-13,62.59
MRK,2018-06-14,61.56
MRK,2018-06-15,62.03
MRK,2018-06-18,60.99
MRK,2018-06-19,61.03
MRK,2018-06-20,61.28
MRK,2018-06-21,61.18
MRK,2018-06-22,61.47
MRK,2018-06-25,61.08
MRK,2018-06-26,60.72
MRK,2018-06-27,59.88
MRK,2018-06-28,60.3
MRK,2018-06-29,60.7
MRK,2018-07-02,60.46
MRK,2018-07-03,60.71
MRK,2018-07-05,61.64
MRK,2018-07-06,62.2
MRK,2018-07-09,62.02
MRK,2018-07-10,62.3
MRK,2018-07-11,61.9
MRK,2018-07-12,62.66
MRK,2018-07-13,62.89
MRK,2018-07-16,62.59
MRK,2018-07-17,62.53
MRK,2018-07-18,62.94
MRK,2018-07-19,62.51
MRK,2018-07-20,62.52
MRK,2018-07-23,62.69
MRK,2018-07-24,63.42
MRK,2018-07-25,64.49
MRK,2018-07-26,64.01
MRK,2018-07-27,63.49
MRK,2018-07-30,64.81
MRK,2018-07-31,65.87
MRK,2018-08-01,65.49
MRK,2018-08-02,65.22
MRK,2018-08-03,65.93
MRK,2018-08-06,66.22
MRK,2018-08-07,66.58
MRK,2018-08-08,66.69
MRK,2018-08-09,66
MRK,2018-08-10,66.07
MRK,2018-08-13,66.72
MRK,2018-08-14,66.46
MRK,2018-08-15,67.37
MRK,2018-08-16,68.85
MRK,2018-08-17,69.06
MRK,2018-08-20,70.17
MRK,2018-08-21,69.17
MRK,2018-08-22,69.04
MRK,2018-08-23,68.97
MRK,2018-08-24,69.04
MRK,2018-08-27,68.99
MRK,2018-08-28,68.63
MRK,2018-08-29,68.81
MRK,2018-08-30,68.54
MRK,2018-08-31,68.59
MRK,2018-09-04,67.95
MRK,2018-09-05,68.62
MRK,2018-09-06,69.38
MRK,2018-09-07,69.67
MRK,2018-09-10,69.56
MRK,2018-09-11,69.08
MRK,2018-09-12,69.86
MRK,2018-09-13,70.83
MRK,2018-09-14,69.98
MRK,2018-09-17,70.42
MRK,2018-09-18,70.42
MRK,2018-09-19,69.98
MRK,2018-09-20,70.78
MRK,2018-09-21,71.1
MRK,2018-09-24,70.78
MRK,2018-09-25,70.65
MRK,2018-09-26,70.33
MRK,2018-09-27,70.72
MRK,2018-09-28,70.94
MRK,2018-10-01,71.53
MRK,2018-10-02,71.75
MRK,2018-10-03,71.37
MRK,2018-10-04,71.22
MRK,2018-10-05,71.03
MRK,2018-10-08,71.46
MRK,2018-10-09,72.34
MRK,2018-10-10,70.45
MRK,2018-10-11,68.37
MRK,2018-10-12,69.81
MRK,2018-10-15,69.46
MRK,2018-10-16,71.22
MRK,2018-10-17,71.82
MRK,2018-10-18,72.21
MRK,2018-10-19,72.35
MRK,2018-10-22,72.57
MRK,2018-10-23,72.1
MRK,2018-10-24,70.54
MRK,2018-10-25,69.96
MRK,2018-10-26,70.4
MRK,2018-10-29,71.45
MRK,2018-10-30,72.87
MRK,2018-10-31,73.61
MRK,2018-11-01,73.12
MRK,2018-11-02,72.27
MRK,2018-11-05,73.12
MRK,2018-11-06,73.31
MRK,2018-11-07,75.08
MRK,2018-11-08,75.48
MRK,2018-11-09,74.86
MRK,2018-11-12,74.69
MRK,2018-11-13,74.61
MRK,2018-11-14,74.09
MRK,2018-11-15,74.84
MRK,2018-11-16,76.06
MRK,2018-11-19,76.35
MRK,2018-11-20,74.78
MRK,2018-11-21,74.79
MRK,2018-11-23,74.67
MRK,2018-11-26,75.44
MRK,2018-11-27,76.34
MRK,2018-11-28,77.23
MRK,2018-11-29,77.91
MRK,2018-11-30,79.34
MRK,2018-12-03,79.22
MRK,2018-12-04,78.21
MRK,2018-12-06,78.37
MRK,2018-12-07,76.72
MRK,2018-12-10,77.42
MRK,2018-12-11,77.11
MRK,2018-12-12,78.01
